"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","additional_exposure_material","target_pathogen","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","exposure_material_id_1","exposure_material_id_2"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFIT1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFIT1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","OAS3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OAS3","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","HERC5","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","HERC5","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFIT3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFIT3","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","LY6E","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","LY6E","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","EPSTI1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","EPSTI1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFITM3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFITM3","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFI27","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFI27","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","OAS1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OAS1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","OASL","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OASL","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","MX1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MX1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","HES4","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","HES4","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","OTOF","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OTOF","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","XAF1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","XAF1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","SERPING1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SERPING1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","SPATS2L","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SPATS2L","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","MT2A","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MT2A","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","HERC6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","HERC6","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFIT2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFIT2","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IRF7","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IRF7","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","EIF2AK2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","EIF2AK2","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","SAMD9L","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SAMD9L","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","OAS2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","OAS2","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFI35","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFI35","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","PLSCR1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PLSCR1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","ZBP1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","ZBP1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","DHX58","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","DHX58","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFI6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFI6","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","MT1A","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MT1A","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","LAP3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","LAP3","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","PARP12","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PARP12","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","IFIH1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFIH1","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","HELZ2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","HELZ2","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
"","hipc_gene_19047440_1","2008.12.03","hipc_gene_19047440_1","DDX60","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","DDX60","N","gene expression","up-regulated","3d vs 0d","time of vaccination (first dose)","3","Days","","yellow fever virus 17D","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","219","219","1","30","19047440_1_30","hipc_gene_sig_19047440_1.txt","hipc_gene_sig_complete_19047440_1.txt","VO:0000121","VO:0003139"
