""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"tissue_type_term_id_1"	"tissue_type_term_id_2"
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"PILRA"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"PILRA"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"HCK"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"HCK"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CLEC4E"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CLEC4E"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SPI1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SPI1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"MPV17"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"MPV17"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TREM1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TREM1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TPP1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TPP1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"SIGLEC14"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"SIGLEC14"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"RNF149"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"RNF149"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CTSC"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CTSC"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CSF2RB"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CSF2RB"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CLEC4A"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CLEC4A"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CEACAM3"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CEACAM3"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD74"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD74"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD164"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD164"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TRGC1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TRGC1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TRGC2"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TRGC2"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"TNFSF13B"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"TNFSF13B"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"NAGK"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"NAGK"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"LCP1"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"LCP1"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"IL2RG"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"IL2RG"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"GCA"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"GCA"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CXCL16"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CXCL16"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
""	"hipc_inf_gene_33013872_16"	"2020.10.06"	"hipc_inf_gene_33013872_16"	"CD37"	""	"Wuxi, China; GEO & NCBI SRA databases"	"25"	"61"	"years"	"9"	"lung; BALF"	"DEGs; difference in Spearman's correlations"	"CD37"	"N"	"gene expression"	"up"	"COVID-19 patients vs healthy"	""	""	""	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33013872"	"2020-08-18"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461898/"	"Fig 5A"	"\"(A) The 15 annotated genes of neutrophils activation were calculated the average expression of every single samples as neutrophils activation score, and the correlation of the score with overlapped 1,363 differently expressed genes both in COVID-..."	"84"	"84"	"16"	"874"	"33013872_16_874"	"hipc_inf_gene_sig_33013872_16.txt"	"hipc_inf_gene_sig_complete_33013872_16.txt"	"UBERON:0002048"	""
